tconst	parent_tconst	ssnNum	epNum	runTime
tt1571822	tt1355642	1	39	30
tt15747172	tt3581920	1	7	55
tt15747176	tt3581920	1	8	50
tt15747178	tt3581920	1	9	43
tt1576524	tt0460649	5	14	30
tt1580981	tt1355642	1	40	30
tt1584507	tt0279600	9	14	42
tt1585804	tt1355642	1	41	30
tt1588124	tt0279600	9	15	42
tt1588125	tt0279600	9	16	42
tt1588126	tt0279600	9	17	42
tt1589090	tt1355642	1	42	30
tt1589779	tt0460649	5	15	30
tt1593017	tt1355642	1	43	30
tt1595724	tt0460649	5	16	30
tt1596850	tt1355642	1	44	30
tt1600988	tt1355642	1	45	30
tt1605239	tt1355642	1	46	30
tt1608867	tt1355642	1	47	30
tt1609037	tt0279600	9	18	42
tt1609038	tt0279600	9	19	42
tt1609315	tt0460649	5	17	30
tt1610780	tt0460649	5	18	30
tt1612914	tt1355642	1	48	30
tt1612968	tt0279600	9	20	42
tt1612969	tt0279600	9	21	42
tt1616769	tt1355642	1	49	30
tt1621686	tt1355642	1	50	30
tt1624286	tt0460649	5	19	30
tt1626341	tt1355642	1	51	30
tt1628580	tt0279600	10	1	42
tt1628581	tt0279600	10	10	60
tt1628582	tt0279600	10	11	42
tt1628583	tt0279600	10	12	42
tt1628584	tt0279600	10	13	42
tt1628585	tt0279600	10	14	42
tt1628586	tt0279600	10	15	42
tt1628587	tt0279600	10	16	42
tt1628588	tt0279600	10	18	42
tt1628589	tt0279600	10	17	42
tt1628590	tt0279600	10	19	42
tt1628591	tt0279600	10	2	42
tt1628592	tt0279600	10	20	42
tt1628593	tt0279600	10	21	84
tt1628595	tt0279600	10	3	42
tt1628596	tt0279600	10	4	42
tt1628597	tt0279600	10	5	42
tt1628598	tt0279600	10	6	42
tt1628599	tt0279600	10	7	42
tt1628600	tt0279600	10	8	42
tt1628601	tt0279600	10	9	42
tt1630401	tt1355642	1	52	30
tt1631001	tt0460649	5	20	30
tt1632014	tt0460649	5	21	30
